"73fa1b37-9363-bdbb-3c3b-31b5d8d85ede"|"1019535-22.2000.2.33.1619"|"MG"|"pje-pi"|"Hayden Bradford"|"2002-10-02"|"2017-02-05"
"a4498560-d398-8f4a-abd7-676d2b00d848"|"4288429-81.2000.9.92.4339"|"BA"|"pje-am"|"Zachary Conrad"|"2003-01-12"|"2016-03-13"
"c63fc64e-e115-f793-64c0-99781f4f4a7b"|"5510893-15.2000.8.90.4167"|"ES"|"pje-ap"|"Orlando Craig"|"2004-02-12"|"2018-08-05"
"9ce4e7d0-2596-4599-02be-610abdf38baf"|"9434341-08.2000.4.80.2036"|"PR"|"projudi-rr"|"Gracia Gates"|"2004-04-25"|"2017-04-11"
"4b6576c7-54a3-cf69-c58d-e17567b6a574"|"8175589-88.2000.9.67.6031"|"TO"|"esaj-to"|"Katelynn Carter"|"2009-03-16"|"2016-10-19"
"2a70aa32-139e-71bc-2b29-4614d39fd402"|"7847234-29.2000.9.00.0652"|"MT"|"esaj-ap"|"Lorita Rhodes"|"1996-12-22"|"2017-05-17"
"fb2f6b3a-57e2-787a-1a75-a6e4c3ed746c"|"3251284-57.2000.1.71.6391"|"RR"|"pje-pr"|"Casimira Castaneda"|"2013-12-04"|"2018-03-02"
"f685ab97-92fc-5b35-e59c-ee66f82798a1"|"2515406-36.2000.9.72.5738"|"ES"|"projudi-es"|"Pei Hartman"|"2005-04-20"|"2017-06-13"
"aa8f45cb-d323-d7ea-a201-b7cb10649106"|"9107707-09.2000.5.64.6873"|"MG"|"pje-ba"|"Sean Sampson"|"2011-06-26"|"2017-10-05"
"3f6beb82-3d4f-c2b0-2d84-7e249cffea9c"|"1883660-73.2000.4.06.8596"|"PE"|"pje-go"|"Liberty Roth"|"1994-01-31"|"2016-10-17"
"d9bc9360-9714-298d-b991-58a13ac7d4de"|"4883720-68.2000.4.85.5487"|"AL"|"projudi-pe"|"Hai Benson"|"2012-11-28"|"2018-02-28"
"17be7543-b2cc-a411-6cb6-a57c06f3ce3d"|"6900717-68.2000.3.12.4551"|"RO"|"projudi-mt"|"Daysi Reed"|"2009-07-19"|"2016-04-27"
"263c9996-5f74-6412-e01f-cbecdca71c5e"|"1517345-36.2000.0.38.0560"|"PB"|"projudi-rn"|"Kam Howe"|"2013-09-06"|"2017-12-27"
"1c4993fd-f939-ee33-7cf1-3c8819ff7e14"|"1806624-57.2000.1.41.0158"|"RN"|"projudi-sc"|"Corrin West"|"2014-06-07"|"2018-02-17"
"bd763215-98e5-a438-02db-5bad409cc4a7"|"7107335-40.2000.0.06.2125"|"MT"|"projudi-pb"|"Monet Lawrence"|"1999-03-31"|"2017-11-25"
"6cc3d567-8b4b-b613-e4dc-e95abca2b847"|"3828211-92.2000.9.48.0093"|"PA"|"pje-ma"|"Micheal Mack"|"2007-10-12"|"2016-12-02"
"cf8cf455-5c9a-131f-cf7e-d3627f6e0340"|"1160369-79.2000.8.38.0868"|"PE"|"esaj-ba"|"Abe Sanders"|"2011-05-05"|"2018-01-28"
"a8a255fd-6e1e-d354-c140-5d538508dbe8"|"8009694-15.2000.0.44.1860"|"CE"|"pje-pr"|"Cory Barry"|"2010-01-04"|"2018-10-10"
"a4b6a9c3-3d27-5231-cdc6-1bd768c88d0f"|"7080816-97.2000.6.41.1577"|"RN"|"esaj-pa"|"Fermin Hammond"|"2015-05-20"|"2017-09-16"
"4810cf28-746e-552a-44b0-4966791c4cf5"|"0143719-60.2000.9.09.4798"|"PB"|"pje-go"|"Twana Huffman"|"1995-09-05"|"2016-02-24"
"4cce68f0-ecf9-f027-64e2-22363f01d44b"|"3250615-71.2000.6.54.4331"|"MA"|"esaj-am"|"Ellamae Meyers"|"2013-08-27"|"2016-07-18"
"9862adc0-bd91-9ccd-c1e2-10f171400710"|"1405523-38.2000.2.20.8220"|"PI"|"projudi-ba"|"Rosenda Stark"|"2008-04-23"|"2018-12-29"
"d962adbc-cf87-92eb-684b-cd879565d29d"|"7177699-80.2000.8.22.2010"|"PE"|"esaj-pr"|"Eusebia Mercado"|"2003-11-10"|"2017-03-07"
"f1cf7f69-0ba6-aa99-5b95-be9c31882891"|"8139360-50.2000.1.53.8660"|"CE"|"pje-mt"|"Cesar Barry"|"2000-06-15"|"2017-04-01"
"03b7ff24-e740-2420-b76b-144aa26abea2"|"1894716-09.2000.5.17.1444"|"DF"|"esaj-ap"|"Ulysses Reid"|"2003-08-27"|"2018-04-27"
"aff4d497-1477-017c-081e-fb38191fc67d"|"7582010-77.2000.4.31.3833"|"MS"|"projudi-es"|"Wally Simpson"|"2001-10-20"|"2017-01-17"
"bb5a6b1a-e074-5cfd-b77b-0b69fade74d3"|"5553373-63.2000.0.56.0896"|"BA"|"pje-es"|"Genesis Guthrie"|"2009-10-22"|"2016-04-09"
"9cbde8b8-9b69-45f5-dcf9-56c9e61c7ff4"|"0716835-52.2000.8.04.5431"|"RS"|"projudi-ba"|"Cristopher Riley"|"2005-08-14"|"2016-02-16"
"ef045d0f-258b-cf7e-6403-5e9a001941b8"|"6088554-90.2000.9.06.8574"|"PR"|"esaj-mg"|"Alonzo Hayden"|"2000-06-08"|"2016-01-31"
"624f37cf-b213-8d66-30bd-50772f28da34"|"6390007-27.2000.3.97.9705"|"MA"|"projudi-se"|"Normand Jacobs"|"2001-12-18"|"2017-11-02"
"3a79f2aa-65b7-434a-6192-82beebc75d2d"|"4500303-98.2000.2.83.8437"|"RR"|"projudi-ce"|"Martin Phillips"|"2000-06-13"|"2018-12-11"
"13ab075c-aa45-17ef-0d8f-7195da36089c"|"0646734-03.2000.6.32.2387"|"SE"|"esaj-ba"|"Phylicia Townsend"|"2004-10-26"|"2018-05-15"
"fffead5f-521e-cd5d-ddc4-21c15d5bdba6"|"5280452-80.2000.2.32.0844"|"AC"|"pje-to"|"Toney Bean"|"2006-05-07"|"2017-12-07"
"d6bfb043-8c5d-d606-4d19-d429629e7952"|"1152752-44.2000.3.62.0324"|"DF"|"esaj-ba"|"Lucrecia Allison"|"2002-02-11"|"2017-05-07"
"6f26865d-3e1c-bbb7-e620-1a41fd7dd265"|"2529937-13.2000.5.52.8646"|"CE"|"pje-pb"|"Dede Barron"|"2013-10-01"|"2017-03-20"
"8a1c8f06-2a13-b223-532b-c34ae95d414e"|"2448791-22.2000.2.06.2244"|"MA"|"projudi-es"|"Calandra Pitts"|"2004-12-20"|"2016-06-16"
"a275f2e9-b67e-5a33-172d-5c4f8b87b28d"|"8721216-70.2000.7.47.6714"|"MS"|"esaj-ce"|"Krishna Mitchell"|"2006-04-01"|"2017-11-28"
"8f6303f5-89b5-fe32-316d-f450a4b18112"|"9768450-95.2000.7.30.3703"|"SC"|"projudi-pb"|"Chante Ryan"|"2006-11-24"|"2016-12-10"
"f63afa04-73ca-d048-2345-7586ab1599ae"|"2203216-27.2000.5.28.4931"|"PE"|"esaj-pb"|"Charley Garrett"|"2014-01-29"|"2016-10-28"
"cbcc2aa9-e9e0-e209-1aaf-cdb792bae262"|"8606459-78.2000.1.70.3845"|"GO"|"pje-pi"|"Alphonse Ramsey"|"1993-06-06"|"2016-03-30"
"fe3fa40b-859c-fe9d-8fb2-f1a67018b293"|"0460071-48.2000.8.57.7180"|"PE"|"pje-es"|"Oswaldo Delgado"|"1995-08-05"|"2018-04-18"
"6f861db6-df24-aedd-c9a4-0cf55e6fc2e1"|"8592296-35.2000.7.98.1615"|"RN"|"esaj-mt"|"Efrain Joyce"|"2002-07-11"|"2018-05-18"
